station lon lat moho av_vp av_vs av_rho
T03_LMG_Vp -77.0047 20.0673 19.0 6.183715789473684 nan 2.901903817140273
T03_CCC_Vp -77.4172 21.1937 31.0 6.159472580645162 nan 2.8316236868487787
T03_MOA_Vp -74.9568 20.6583 29.0 6.060939655172414 nan 2.758240449111138
T03_SOR_Vp -83.018 22.783 27.0 6.134901851851852 nan 2.9118692784628633
T03_RCC_Vp -75.6965 19.9953 18.0 5.696322222222222 nan 2.771630467785342
T03_MAS_Vp -74.231 20.176 24.0 6.191691666666666 nan 2.846452224852513
T03_MCG_Vp -80.0 22.3333 24.0 5.996583333333334 nan 2.7728373178822743
ID11272 58.69 38.23 45.6 6.484527412280702 nan 2.9660395502651027
ID11266 53.59 40.31 52.0 6.492908653846153 nan 2.9396173766650553
ID9576p 35.13 30.08 33.0 6.101395454545454 nan 2.7442828925852676
ID12795p -94.21 51.18 42.0 6.523785714285715 nan 2.9084876894325506
ID17240p 101.22 0.36 27.45 6.519499089253188 nan 2.846519143892541
ID12412p -85.39 35.06 45.7 6.546102844638949 nan 2.9327279907973045
ID11267 53.69 39.91 45.7 6.429357768052515 nan 2.92450100070675
ID11273 58.69 38.23 43.9 6.340430523917996 nan 2.947242683264381
ID11271 58.69 38.23 45.6 6.5298563596491235 nan 2.9866759335531525
ID12832p -104.68 53.59 44.6 6.515779147982063 nan 2.9217479653353777
ID12799p -115.35 62.83 38.0 6.324392105263158 nan 2.812097215690967
ID11270 58.8 37.95 45.8 6.385570960698691 nan 2.9285536809944164
ID11274 55.33 37.62 32.0 5.4961875 nan 2.6981087285681067
ID12798p -115.14 62.73 40.0 6.468202500000001 nan 2.876105205375147
ID12833p -103.93 52.9 46.6 6.246973175965665 nan 2.832454159068732
ID11275 55.33 37.62 32.0 5.482640625 nan 2.6726560820215033
ID9577p 35.06 29.97 32.0 6.103307812499999 nan 2.750943915629657
ID11012p -68.54 -30.14 56.0 6.678053571428571 nan 2.9880552491002286
ID12844p -104.34 50.85 41.5 5.9898421686746985 nan 2.742099537782588
ID12829p -104.69 54.3 40.2 6.017603233830845 nan 2.71080319200778
ID11276 49.4 38.91 34.8 6.40978448275862 nan 3.017854444025551
ID11173 51.44 35.13 46.0 6.355563043478261 nan 2.8641769810810875
ID12834p -106.69 54.14 42.8 6.3325607476635515 nan 2.844866876181039
ID18238p -69.08 -30.95 66.0 6.5044545454545455 nan 2.894959569211314
ID12123 -43.2 -22.6 35.7 6.45479131652661 nan 2.9318798010602025
ID12838p -106.37 53.34 46.6 6.319994635193133 nan 2.8476593730040016
ID12843p -106.4 52.2 47.6 6.233715336134454 nan 2.8352578761064136
ID9570p 35.24 30.66 34.0 6.099875 nan 2.74826318628904
ID12678p -75.48 45.7 40.6 6.7941379310344825 nan 3.0045570156197026
ID9567p 35.97 30.87 32.5 6.0983307692307696 nan 2.7500485839681934
ID12679p -64.81 45.85 43.3 6.524122401847576 nan 2.9179751782430534
ID11175 51.58 35.77 46.0 5.9663445652173905 nan 2.787121901531759
ID9571p 35.18 30.56 33.5 6.1022731343283585 nan 2.7417728496288696
ID12124 -46.76 -23.41 37.1 6.597721024258759 nan 2.9201234109918097
ID12842p -104.44 51.29 39.4 5.986214467005077 nan 2.740582094205972
ID12125 -47.39 -24.04 37.0 6.365672972972973 nan 2.82067277200767
ID12839p -106.06 53.26 47.5 6.3748810526315784 nan 2.8682582170589903
ID11174 51.52 35.47 47.0 6.928824468085106 nan 3.049584216335504
ID11176 51.52 35.84 49.0 6.078490816326531 nan 2.7937986409465085
ID12127 -43.29 -22.18 41.4 6.604950483091788 nan 2.897133993894781
ID12835p -105.29 53.04 38.1 6.221856955380577 nan 2.807701129718396
ID12126 -45.59 -22.99 37.9 6.370254617414248 nan 2.8175456351871704
ID11177 51.5 35.47 43.0 6.653270930232559 nan 3.033340314773544
ID9568p 35.61 30.78 31.0 6.096637096774193 nan 2.7518414098954076
ID11298p 52.77 30.37 45.3 5.857693156732892 nan 2.6964806635077334
ID12836p -105.4 53.18 40.7 6.172276412776413 nan 2.779952817036077
ID17244p 104.92 -2.75 31.9 6.042380877742946 nan 2.6817432074970786
ID11179 51.09 35.44 49.0 6.726988775510204 nan 3.0096832425265454
ID12683p -113.35 53.22 37.0 6.231594594594595 nan 2.8459212654572434
ID12791p -74.86 44.06 54.0 6.661836111111111 nan 2.937559866216261
ID12128 -43.46 -21.54 42.4 6.357094339622641 nan 2.8146684530501687
ID9572p 35.16 30.36 33.0 6.101395454545454 nan 2.7442828925852676
ID12841p -102.59 50.72 42.1 6.277452494061758 nan 2.8307258460674185
ID6886p 36.0 59.0 42.5 6.484905882352941 nan 2.924146801796609
