MBC
-119.3600 76.2417
33
2.37791887125  -0.126984126984
2.38088183422  -5.46031746032
3.29206349206  -5.5873015873
3.29340388007  -8
3.42680776014  -8.12698412698
3.42892416226  -11.9365079365
3.31788359788  -12.0634920635
3.32331569665  -21.8412698413
3.43456790123  -22.0952380952
3.43562610229  -24
3.52458553792  -24.126984127
3.50455026455  -28.0634920635
3.70469135802  -28.3174603175
3.72783068783  -29.9682539683
3.99456790123  -30.0952380952
3.99555555556  -31.873015873
4.28458553792  -32.126984127
4.32945326279  -32.8888888889
4.59626102293  -33.1428571429
4.57453262787  -34.0317460317
4.7078659612  -34.0317460317
4.69001763668  -41.9047619048
4.51231040564  -42.0317460317
4.50553791887  -69.8412698413
4.55012345679  -70.0952380952
4.55548500882  -79.746031746
