PCMN
-35.114 -6.828
30
3.502	0.000
3.502	-7.895
3.613	-7.895
3.613	-10.197
3.692	-10.197
3.692	-12.500
3.834	-12.500
3.834	-14.803
3.787	-14.803
3.787	-17.434
3.755	-17.434
3.755	-20.395
3.834	-20.395
3.834	-22.697
3.723	-22.697
3.723	-26.974
3.818	-26.974
3.818	-30.263
4.213	-30.263
4.213	-32.566
4.466	-32.566
4.466	-37.500
4.387	-37.500
4.387	-39.803
4.277	-39.803
4.277	-42.763
4.419	-42.763
4.419	-45.066
4.609	-45.066
4.609	-49.671
4.545	-49.671
4.545	-69.408
4.451	-69.408
4.451	-75.000
4.466	-75.000
4.466	-79.934
4.387	-79.934
4.387	-90.132
4.324	-90.132
4.324	-95.066
4.435	-95.066
4.435	-99.671
4.213	-99.671
4.213	-104.934
4.150	-104.934
4.150	-109.868
4.198	-109.868
4.198	-114.803
4.292	-114.803
4.292	-119.737
4.403	-119.737
4.403	-124.671
4.466	-124.671
4.466	-129.605
4.530	-129.605
4.530	-145.066
4.482	-145.066
4.482	-149.671
4.372	-149.671
4.372	-159.868
4.435	-159.868
4.435	-169.737
4.561	-169.737
4.561	-179.934
4.640	-179.934
4.640	-189.803
4.672	-189.803
4.672	-199.671
4.719	-199.671
4.719	-209.539
4.862	-209.539
4.862	-223.355
4.988	-223.355
4.988	-243.750
4.830	-243.750
4.830	-248.684
