ELMA
-70.40984 -33.57784
40
3.14720812183  -0.0734532194808
3.15736040609  -4.46687390968
2.99492385787  -4.71477852543
2.9847715736  -9.62368341662
3.10659898477  -9.88995133724
3.10659898477  -14.5411141279
3.19796954315  -14.8054145516
3.19796954315  -19.7149752751
3.81725888325  -19.7549810464
3.81725888325  -24.4061438371
3.8578680203  -24.6671650992
3.8578680203  -29.3183278899
3.8883248731  -29.8370912525
3.8883248731  -34.4882540432
4.07106598985  -34.7584569577
4.08121827411  -39.4102755807
4.20304568528  -39.6765435014
4.20304568528  -44.5861042249
