LONG,LAT,MOHO_DEPTH,VP/VS,METHOD,SUB-METHOD,AUTHOR,V_PROFILE(Y/N),LOCATION,SUB_LOCATION
19.62,-32.85,66,2.04,Hk,-,EARS,N,Africa,
20.81,-32.38,44,1.8,Hk,-,EARS,N,Africa,
20.23,-31.98,68,1.78,Hk,-,EARS,N,Africa,
19.76,-31.48,45,1.69,Hk,-,EARS,N,Africa,
22.25,-30.98,49,1.72,Hk,-,EARS,N,Africa,
23.91,-30.97,48,1.75,Hk,-,EARS,N,Africa,
21.27,-30.93,46,1.75,Hk,-,EARS,N,Africa,
22.99,-30.92,47,1.72,Hk,-,EARS,N,Africa,
23.14,-29.98,37,1.71,Hk,-,EARS,N,Africa,
20.95,-29.97,43,1.69,Hk,-,EARS,N,Africa,
25.03,-29.9,36,1.79,Hk,-,EARS,N,Africa,
24.02,-29.87,34,1.74,Hk,-,EARS,N,Africa,
22.25,-29.85,44,1.73,Hk,-,EARS,N,Africa,
26.2,-29.02,34,1.8,Hk,-,EARS,N,Africa,
22.2,-28.95,25,1.98,Hk,-,EARS,N,Africa,
23.23,-28.93,40,1.66,Hk,-,EARS,N,Africa,
24.83,-28.91,37,1.69,Hk,-,EARS,N,Africa,
24.87,-28.8,35,1.77,Hk,-,EARS,N,Africa,
24.56,-28.69,36,1.72,Hk,-,EARS,N,Africa,
24.52,-28.67,34,1.62,Hk,-,EARS,N,Africa,
24.82,-28.65,38,1.62,Hk,-,EARS,N,Africa,
24.31,-28.63,37,1.69,Hk,-,EARS,N,Africa,
25.26,-28.61,36,1.72,Hk,-,EARS,N,Africa,
24.83,-28.6,36,1.73,Hk,-,EARS,N,Africa,
24.54,-28.58,30,1.85,Hk,-,EARS,N,Africa,
24.9,-28.58,36,1.74,Hk,-,EARS,N,Africa,
24.71,-28.56,33,1.62,Hk,-,EARS,N,Africa,
24.71,-28.53,27,2.05,Hk,-,EARS,N,Africa,
22.01,-27.97,26,2.04,Hk,-,EARS,N,Africa,
