LONG,LAT,MOHO_DEPTH,VP/VS,METHOD,SUB-METHOD,AUTHOR,V_PROFILE(Y/N),LOCATION,SUB_LOCATION
35.99,2,22.3,-,Refraction,Slope_Intercept,Achauer1992,Y,Africa
36.13,0.23,32.9,-,Refraction,Slope_Intercept,Achauer1992,Y,Africa
-5.26,33.47,40,-,Refraction,P_reversed,Ayarza2014,Y,Africa
-5.18,33.67,34,-,Refraction,P_reversed,Ayarza2014,Y,Africa
-5.13,33.3,33,-,Refraction,P_reversed,Ayarza2014,Y,Africa
-5.05,33.07,42,-,Refraction,P_reversed,Ayarza2014,Y,Africa
-4.96,32.85,41,-,Refraction,P_reversed,Ayarza2014,Y,Africa
-4.59,32.63,41,-,Refraction,P_reversed,Ayarza2014,Y,Africa
-4.47,32.25,39,-,Refraction,P_reversed,Ayarza2014,Y,Africa
-4.42,31.94,37,-,Refraction,P_reversed,Ayarza2014,Y,Africa
-4.17,31.77,37,-,Refraction,P_reversed,Ayarza2014,Y,Africa
-4.15,31.34,36,-,Refraction,P_reversed,Ayarza2014,Y,Africa
-3.89,30.95,35.5,-,Refraction,P_reversed,Ayarza2014,Y,Africa
14.25,-21.48,34,-,Refraction,P_reversed,Bauer2000,Y,Africa
14.75,-22.8,30,-,Refraction,P_reversed,Bauer2000,Y,Africa
34.13,0.22,36,-,Refraction,P_reversed,Braile1994,Y,Africa
35.4,0.35,39,-,Refraction,P_reversed,Braile1994,Y,Africa
36.28,0.82,30.5,-,Refraction,P_reversed,Braile1994,Y,Africa
37.11,0.78,38,-,Refraction,P_reversed,Braile1994,Y,Africa
38.02,0.8,34.45,-,Refraction,P_reversed,Braile1994,Y,Africa
8.81,36.82,29,-,Refraction,Slope_Intercept,Buness1992,N,Africa
8.82,36.31,35,-,Refraction,Slope_Intercept,Buness1992,N,Africa
8.84,35.78,38.5,-,Refraction,Slope_Intercept,Buness1992,N,Africa
8.84,35.11,37.5,-,Refraction,Slope_Intercept,Buness1992,N,Africa
8.85,35.52,38,-,Refraction,Slope_Intercept,Buness1992,N,Africa
8.86,34.86,37,-,Refraction,Slope_Intercept,Buness1992,N,Africa
8.87,34.54,36.5,-,Refraction,Slope_Intercept,Buness1992,N,Africa
8.89,34.04,36,-,Refraction,Slope_Intercept,Buness1992,N,Africa
8.9,33.55,35,-,Refraction,Slope_Intercept,Buness1992,N,Africa
8.93,33.13,34,-,Refraction,Slope_Intercept,Buness1992,N,Africa
33.24,-8.98,42,1.6,RF_other,forward_model,Camelbeeck1996,N,Africa
-8.51,33.21,34,-,Refraction,P_reversed,Contrucci2004,Y,Africa
-8.5,33.1,35,-,Refraction,P_reversed,Contrucci2004,Y,Africa
-8.11,32.78,35,-,Refraction,P_reversed,Contrucci2004,Y,Africa
-9.85,28.5,32.5,-,RF_other,-,Cooper2014,N,Africa
-0.37,6.19,37.56,-,RF_other,-,Cooper2014,N,Africa
0.04,5.88,34,-,RF_other,-,Cooper2014,N,Africa
0.44,6.61,32.76,-,RF_other,-,Cooper2014,N,Africa
7.42,6.87,28.5,-,RF_other,-,Cooper2014,N,Africa
8.12,10.99,33.25,-,RF_other,-,Cooper2014,N,Africa
38.4,9.83,48,-,Hk,-,Cornwell2010,Y,Africa
38.57,9.62,38,-,Hk,-,Cornwell2010,Y,Africa
38.93,9.18,37,-,Hk,-,Cornwell2010,Y,Africa
39.11,8.95,40.5,-,Hk,-,Cornwell2010,Y,Africa
39.28,8.75,36.5,-,Hk,-,Cornwell2010,Y,Africa
39.45,8.57,35,-,Hk,-,Cornwell2010,Y,Africa
39.81,8.09,35,-,Hk,-,Cornwell2010,Y,Africa
39.91,7.98,38,-,Hk,-,Cornwell2010,Y,Africa
39.96,7.88,40,-,Hk,-,Cornwell2010,Y,Africa
40.12,7.69,38,-,Hk,-,Cornwell2010,Y,Africa
40.22,7.58,37.5,-,Hk,-,Cornwell2010,Y,Africa
40.32,7.44,37,-,Hk,-,Cornwell2010,Y,Africa
1.7,13.14,41,1.69,Hk,-,DiLeo2015,N,Africa
